,price,area,latitude,longitude,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building
76,11700000.0,1200.0,19.281902,72.886296,3,3,3,0,New Property,3,Unfurnished,3,Flat
77,10600000.0,690.0,19.136906,72.930603,2,2,0,0,New Property,0,Semi-Furnished,0,Flat
78,30000000.0,1000.0,19.032798767089844,72.89635467529297,3,3,1,0,New Property,1,Unfurnished,1,Flat
79,30500000.0,950.0,19.03039,72.85475,2,2,0,0,New Property,0,Semi-Furnished,0,Flat
80,10400000.0,1024.0,19.263496,72.875621,2,2,3,0,New Property,3,Semi-Furnished,3,Flat
81,34000000.0,1019.0,19.053375,72.897061,3,3,0,0,New Property,0,Unfurnished,0,Flat
82,38800000.0,2377.0,19.18023681640625,72.85541534423828,3,3,4,0,New Property,4,Unfurnished,4,Flat
83,29000000.0,1377.0,19.140335,72.8647155,3,2,2,0,Resale,2,Semi-Furnished,2,Flat
84,25400000.0,1507.0,19.156373,72.93894499999999,3,3,1,0,New Property,1,Semi-Furnished,1,Flat
85,36000000.0,2250.0,19.139475,72.864462,3,4,1,0,New Property,1,Unfurnished,1,Flat
86,13899999.999999998,1200.0,19.040233,72.8601801,2,2,1,0,New Property,1,Unfurnished,1,Flat
87,9000000.0,1071.0,19.273876,72.880675,2,2,3,0,New Property,3,Semi-Furnished,3,Flat
88,17000000.0,1100.0,19.162992477416992,72.83930206298828,2,2,0,0,Resale,0,Unfurnished,0,Flat
89,27800000.0,1600.0,19.171175,72.94032800000001,3,3,1,0,New Property,1,Unfurnished,1,Flat
90,17000000.0,1190.0,19.1907193,72.8618457,2,2,0,0,New Property,0,Unfurnished,0,Flat
91,18000000.0,950.0,19.057437,72.905785,2,2,0,0,New Property,0,Unfurnished,0,Flat
92,29600000.0,1600.0,19.21104,72.869411,3,2,1,0,New Property,1,Unfurnished,1,Flat
93,56400000.0,2068.0,19.100385665893555,72.8504638671875,3,3,0,Ready to Move,New Property,0,Semi-Furnished,0,Flat
94,340000000.0,8000.0,19.0166667,72.8166667,5,6,1,0,New Property,1,Unfurnished,1,Flat
95,26700000.0,2017.0,19.1657808,72.934534,3,3,0,0,New Property,0,Unfurnished,0,Flat
96,60000000.0,1800.0,19.098821,72.8320717,3,3,3,Ready to Move,Resale,3,Semi-Furnished,3,Flat
97,33500000.0,1540.0,19.123709,72.89286700000001,3,3,1,0,New Property,1,Semi-Furnished,1,Flat
98,54000000.0,3018.0,19.1746739,72.94310379999999,4,5,1,0,New Property,1,Unfurnished,1,Flat
99,29000000.0,1800.0,19.157602,72.945243,3,3,1,0,New Property,1,Semi-Furnished,1,Flat
100,8200000.0,1062.0,19.280103,72.8794099,2,2,4,0,New Property,4,Unfurnished,4,Flat
